conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Iguazu,282000,4,33,Si,90.0,3,3,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,389300000.0,Carrera 8a #151-83,Iguazu,"Apartamento en venta de 90m2, con vista exterior, ubicado en un 3er piso ( Apto 303), acceso por ascensor, parqueadero propio cubierto (42) y depósito (42). Consta de 3 habitaciones, 3 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal, zona social y vigilancia privada las 24 horas. Cerca a centro comercial cedritos 151; cerca a almacenes de cadena Homecenter, Tienda D1, Éxito Express, Tienda Ara; cerca a colegio PIERRE DE FERMAT; cerca a paradero del SITP; Vías de acceso por la calle 153 y carrera 8a.",LOS CEDROS
Reserva de Modelia,270000,4,3,No,67.0,3,2,1,2,Apartamento,0,24 hrs,No Tiene,Si,Si,462100000.0,Calle 24 # 85c-67,Reserva de Modelia,"Apartamento en venta de 67m2, con vista exterior, ubicado en un 7to piso (Apto 709). Consta de parqueadero privado (218), 3 habitaciones, 2 baños, sala comedor, balcón (3m2), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón social, parqueadero de visitantes y vigilancia privada las 24 horas. Cerca a centros comerciales Salitre Plaza, Multiplaza Centro Comercial y Hayuelos; cerca a almacenes de cadena como Éxito, D1, Ara y carulla; cerca a colegio Niños De Colombia y Colegio Amanecer; cerca a universidades Libre y Politécnico Grancolombiano; cerca a estación de Transmilenio Portal el Dorado y Modelia; Vías de acceso por la Calle 23D y la Carrera 72D.",CAPELLANIA
Refugio de Lisboa,660000,5,14,Si,79.0,3,2,2,1,Apartamento,1,24 hrs,No Tiene,Si,Si,452000000.0,Carrera 10a # 134b - 55,Refugio de Lisboa,"Apartamento en venta de 79 m2, con vista exterior, ubicado en un 3er  piso (Torre 1 Apto 305), acceso por ascensor, parqueadero propio cubierto (11 -13) y depósito (305). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso lamiando en habitaciones y zona social y cerámica en baños y cocina. El edificio cuenta con salón social y vigilancia privada las 24 horas; cerca a almacenes de cadena éxito country; cerca a colegio  Duque de Windsor ; cerca a universidad el Bosque; cerca a estación de Transmilenio Alcalá; Vías de acceso por la carrera 10A y  calle 135B.",LOS CEDROS
Canelo,113000,2,5,No,38.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,200000000.0,Calle 172a # 8-20,Canelo,"Apartamento en venta de 39 m2, con vista interior, ubicado en un 5to piso (Torre 30 Apto 501), acceso por escaleras. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, parque zona bbq y vigilancia privada las 24 horas. Cerca a centro comercial Panamá; cerca a almacenes de cadena PrinceSmart; cerca a colegio Anglo Americano; cerca a universidad El Bosque; cerca a estación de Transmilenio Portal Norte; Vías de acceso por la Calle 170 y Carrera 7ma.",LA URIBE
Portón de la Américas ,121400,3,15,Si,61.0,3,2,0,0,Apartamento,0,No,No Tiene,Si,Si,268400000.0,Carrera 69d # 1sur-10,Portón de la Américas,"Apartamento en venta de 61, con vista exterior, ubicado en un 4to piso (Torre 6 Apto 404), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El conjunto cuenta con zonas verdes, zona para niños, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Plaza de las Américas y Plaza Central; cerca a almacenes de cadena como Éxito, Cafam, Easy y D1; cerca a colegios como La Floresta sur y Colegio Integración Moderna; cerca a universidades como Uniagustiniana y Universidad Publica de Kennedy; cerca a estación de Transmilenio Banderas y Marsella; Vías de acceso por la Calle 1 y Carrera 69d.",AMERICAS
Bolivia Real 3,212000,3,27,Si,70.0,3,2,1,0,Apartamento,0,24 hrs,No Tiene,Si,Si,301900000.0,Diagonal 82a # 110-93,Bolivia Real 3,"Apartamento en venta de 70m2, con vista interior (Torre 2  Apto 402), acceso por escaleras, parqueadero propio(164). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en las habitaciones y piso cerámico en  zona socia,cocina y baños. El conjunto cuenta con salón comunal, parque infantil, bicicleteros, zona BBQ y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro de Occidente; cerca a almacenes de cadena como Exito, D1 y Ara; cerca a colegio Colsubsidio Ciudadela; cerca a estación de Transmilenio Portal 80, paraderos del SITP y rutas Alimentadoras; Vías de acceso por Calle 80 y Carrera 110.",BOLIVIA
Ficus,521000,6,28,Si,85.0,2,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,493300000.0,Carrera 15a # 106 - 90,Ficus,"Apartamento en venta de 85m2, con vista Exterior,  ubicado en un 4to piso (Apto 401), acceso por ascensor. Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Hacienda Santa Barbara; cerca a almacenes de cadena Olímpica; cerca a colegio Alemán; Vías de acceso por la Calle 106 y Carrera 15 A",SANTA BARBARA
Atabanza 4,330000,5,35,Si,78.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,360800000.0,Carrera 51a # 127-52,Atabanza 4,"Apartamento en venta de 78m2, con vista interior, ubicado en un 1er piso (Torre 6 Apto 102), acceso por escaleras y ascensor, parqueadero propio cubierto (199). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, zona social, y cerámico en baños y cocina. El conjunto cuenta con salón social, salón de juegos, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial San rafael; cerca a almacenes de cadena Supermercado Prado; cerca a colegio Italiano Leonardo Davinci; cerca a universidad Católica Luis Amigó; cerca a estación de Transmilenio Calle 127; Vías de acceso por la calle 127  y calle 129.",EL PRADO
Milenio ,423000,4,27,Si,86.0,3,2,1,0,Apartamento,0,24 hrs,No Tiene,Si,Si,329000000.0,Calle 152 # 53a-20,Milenio,"Apartamento en venta de 86m2, con vista interior y exterior, ubicado en un 1er piso (Torre 7 Apto 102), acceso por hall de entrada, parqueadero propio descubierto (69). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, senderos peatonales, salón social y vigilancia privada las 24 horas. Cerca a centro comercial Parque la Colina ; cerca a almacenes de cadena Éxito; cerca a colegio Teresiano; cerca a universidad El Bosque; cerca a estación de Transmilenio Alcalá; Vías de acceso por la calle 152 y  Autopista Norte.",EL PRADO
Terrazas de Castilla 4,148400,3,16,Si,71.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,261100000.0,Carrera 81b # 6c-62,Terrazas de Castilla 4,"Apartamento en venta de 71m2, con vista exterior, (Torre 3 Apto 403), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, zona social y ceramico en baños y cocina. El conjunto cuenta con salón comunal, parqueadero comunal, parque infantil y vigilancia privada las 24 horas. Cerca al centro comercial Tintal Plaza; cerca a almacenes de cadena como Éxito, D1 y Ara; cerca al colegio Gabriel Betancourt Mejia; cerca a paraderos del SITP; Vías de acceso por Calle 6C y Avenida Carrera 86.",CASTILLA
