conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Colinas de Suba ,368000,3,9,Si,84.0,3,2,1,3,Apartamento,0,24 hrs,No Tiene,Si,No,368000000.0,Calle 149 # 91-50,Colinas de Suba,"Apartamento en venta de 84 m2, con vista interior, ubicado en un 5to piso (Torre 1 Apto 508), acceso por ascensor, parqueadero propio cubierto (56). Consta de 3 habitaciones, 2 baños, sala comedor,, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, parque infantil, Bbq, gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial La Campiña; cerca a almacenes de cadena Ara y D1; cerca a colegio el Salitre Suba; cerca a universidad Uniagustiniana; cerca a rutas de SITP; Vías de acceso por la Calle 149 y la carrera 91.",SUBA
Bosques del Portal ,75000,2,7,Si,47.0,2,1,0,0,Apartamento,1,24 hrs,No Tiene,Si,Si,170000000.0,Carrera 73 # 57r-15 Sur,Bosques del Portal,"Apartamento en venta de 47 m2, con vista Interior, ubicado en un 2do piso (Torre 18Apto 202), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso Cermico en todas sus zonas. El Conjunto cuenta con Zona de Niños, Salón Social, Zonas Verdes, BBQ, Canchas de Juego y vigilancia privada las 24 horas. Cerca a centros comercial Metro Sur ; cerca a almacenes de cadena como D1, Tiendas Ara, Éxito; cerca a colegios San Isidro Labrador y Colombo Japonés  ; cerca a universidad ECCI y Politécnico Gran Colombiano; cerca a estación de Transmilenio Portal Sur; Vías de acceso por la  Carrea 73 Calle 57r.",ISMAEL PERDOMO
Torres del Porvenir ,61200,2,11,Si,44.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,120500000.0,Calle 54csur # 100-24,Torres del Porvenir,"Apartamento en venta de 44 m2, con vista interior, ubicado en un 5to piso (Torre 33 Apto 501), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con gimnasio, zona social, zona verde, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial mi centro el porvenir; cerca a tiendas y supermercado de barrio; cerca a colegio ciudadela educativa de bosa; cerca a paraderos del SITP; Vías de acceso por la carrera 100 y calle 54c sur.",EL PORVENIR
Parque Primaveral,120000,2,2,Si,50.0,3,2,0,2,Apartamento,0,No,No Tiene,Si,No,202000000.0,Calle 71a sur # 83 - 20,Parque Primaveral,"Apartamento en venta de 50m2, con vista interior, ubicado en un 16vo piso (Torre 2 Apto 1609), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, parque infantil y vigilancia privada las 24 horas. Cerca a Boulevard Comercial Maryland; cerca a almacenes de cadena D1 y Tiendas Ara; cerca a colegio Palermo; cerca a paraderos de SITP; Vías de acceso por la Av. Ciudad de Cali y Calle 71A Sur.",BOSA CENTRAL
Sabana Grande 6,65000,3,20,Si,53.0,2,1,0,0,casa con conjunto cerrado,0,24 hrs,No Tiene,Si,Si,180000000.0,Calle 13d #100-65,Sabana Grande 6,"Casa en venta de 53m2, con vista Interior, ubicado en la casa (93), parqueadero comunal. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, zonas verdes, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Viva; cerca a almacenes de cadena tiendas y supermercado de barrio; cerca a colegio Pablo Neruda; cerca a paraderos de SITP; Vías de acceso por la Avenida calle 13 y carrera 104.",ZONA FRANCA
Rincón de Sotavento ,417000,4,14,No,93.0,3,3,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,440000000.0,Carrera 55C # 161A - 67,Rincón de Sotavento,"Apartamento dúplex en venta de 93m2, con vista interior, ubicado en un 8vo piso (Torre 2 Apto 806), acceso por ascensor, parqueadero propio cubierto (142) y depósito (99). Consta de 3 habitaciones, 3 baños, sala comedor, balcón,  terraza, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y piso cerámico en baños y cocina. El conjunto cuenta con salones sociales, zona infantil, gimnasio, turco, sauna y vigilancia privada las 24 horas. Cerca a centros comerciales Parque la Colina, Santafé y Porto Alegre; cerca a almacenes de cadena como Éxito, D1 y Carulla; cerca a colegios Marymount y Bethlemitas; cerca a universidades ECCI Y Uniagraria; cerca a estación de Transmilenio Toberín; Vías de acceso por la Avenida Boyacá y Calle 163.",BRITALIA
Hato Chico 4 ,128200,3,11,Si,48.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,166600000.0,Carrera 136a # 151b-52,Hato Chico 4,"Apartamento en venta de 48 m2, con vista Interior, ubicado en un 4to piso (Torre 6 Apto 403), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso Cerámico en todas sus zonas. El conjunto cuenta con salón social, parque infantil , zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial ; cerca a almacenes de cadena como Surtimax y D1 ; cerca a colegio Compartir; cerca a universidad Politécnico Gran Colombiano; cerca a estación de Transmilenio Portal Suba y paraderos del SITP ; Vías de acceso por Carrera 136 A y Diagonal 146.",TIBABUYES
Potosí 2,213000,4,33,No,51.0,2,1,1,0,Apartamento,0,24 hrs,No Tiene,Si,No,211000000.0,Calle 150A # 53A - 30,Potosí 2,"Apartamento en venta de 51m2, con vista exterior, ubicado en un 3er piso (Apto 301), acceso por escaleras, parqueadero propio (9). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Sendero De La Colina; cerca a almacenes de cadena Olímpica, Tienda D1, Colsubsidio; cerca a colegio Externado Caro y Cuervo; cerca a paraderos del SITP; Vías de acceso por la calle 150a y carrera 53.",EL PRADO
Hacienda del Pinar ,96000,2,12,Si,43.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,168000000.0,Calle 158 # 96a-25,Hacienda del Pinar,"Apartamento en venta de 43m2, con vista exterior, ubicado en un 5to piso (Torre 23 Apto 503), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en alcobas, zona sociales y cerámico en baño y cocina. El conjunto cuenta con zonas verdes, parque infantil, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial; cerca a almacenes de cadena como Éxito, D1 y Ara; cerca a colegio San Jorge de Inglaterra; cerca a Politecnico Grancolombiano; cerca a estación de Transmilenio Portal Suba; Vías de acceso por la calle 153 y la cra 92A.",SUBA
Bonavista 2,144800,3,10,Si,59.0,3,2,0,3,Apartamento,0,24 hrs,No Tiene,Si,Si,174000000.0,Avenida 68 sur # 70D - 71,Bonavista 2,"Apartamento en venta de 59m2, con vista exterior, ubicado en un 3er piso (Torre 1 Apto 307), acceso por ascensor, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El conjunto cuenta con zonas verdes, zona para niños, salón social, y vigilancia privada las 24 horas. Cerca a centros comerciales Gran Plaza El Ensueño, San Andresito y El Perdomo; cerca a almacenes de cadena como D1, Ara, y Surtimax; cerca a colegios como Ismael Perdomo y María Mercedes Carranza; cerca a estación de Transmilenio Perdomo y Madelena; Vías de acceso por la Calle 64 Sur y Carrera 70d.",ISMAEL PERDOMO
Bonavista 2,144800,3,10,No,59.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,175000000.0,Carrera 70d # 64 - 38,Bonavista 2,"Apartamento en venta de 59m2, con vista interior, ubicado en un 21er piso (Torre 3 Apto 2108), acceso por ascensor, parqueadero propio cubierto (617). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso ceramico en todas sus zonas. El conjunto cuenta con zonas verdes, parques infantiles, salón comunal y vigilancia privada las 24 horas; cerca a almacenes de cadena como Tiendas Ara y D1; cerca a centro comercial El Ensueño; cerca a estación de transmilenio Madelena; Vías de acceso por carrera 70D y calle 64. ",ISMAEL PERDOMO
Maceratta de Castilla ,290000,3,10,No,68.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,354000000.0,Carrera 78a # 9-39,Maceratta de Castilla,"Apartamento en venta de 68m2, con vista exterior, ubicado en un 5avo piso (Torre C Apto 502), acceso por ascensor, parqueadero propio cubierto (31). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones, porcelanato en zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, parque infantil, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Edén; cerca a almacenes de cadena Ktronix, éxito; cerca a colegio Liceo Santa Teresita ; cerca a universidad Uniagustiniana_; cerca a estación de Transmilenio avenida Boyacá; Vías de acceso por la Cr 78 y calle 39.
",CASTILLA
San Lucar,957000,6,31,Si,108.0,3,2,2,1,Apartamento,1,24 hrs,No Tiene,Si,Si,581745000.0,Calle 103 # 13 - 02,San Lucar,"Apartamento en venta de 108m2, con vista exterior, ubicado en un 4to piso (Apto 401), acceso por ascensor, parqueaderos comunes de uso exclusivo (2). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y piso cerámico en baños y cocina. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Santa Ana; cerca a almacenes de cadena Carulla y Éxito; cerca a Colegio Bloomington; cerca a universidad Militar Nueva Granada; cerca a paraderos de SITP; Vías de acceso por la Av. Carrera 9 y Calle 103.",USAQUEN
Senderos de Castilla 1,119100,3,11,No,44.0,2,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,No,190000000.0,Carrera 80d # 7b - 83,Senderos de Castilla 1," Apartamento en venta de 44m2, con vista interior, ubicado en un 8vo piso (Torre 4 Apto 801). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Tintal; cerca a almacenes de cadena como D1 y Ara; cerca a colegios Carlos Albán Holguín y El Shaday; cerca a estación de Transmilenio Tv 86; Vías de acceso por la Calle 7B Bis y Cra 80.",CASTILLA
Torres de Tintala 1,82000,2,16,Si,47.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,150000000.0,Calle 6BisA #90A-50,Torres de Tintala 1,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 4to piso (Torre 15 Apto 403). Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con cancha múltiple, salón comunal, zonas verdes, zona de niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza; cerca a almacenes de cadena Éxito, Droguería y supermercado Colsubsidio, Tienda Ara; cerca a colegio Gimnasio Moderno San Francisco; cerca a Paraderos del SITP; Vías de acceso por la carrera 90 y calle 6 bis a.",CALANDAIMA
Alameda de San Pedro,77800,2,8,No,50.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,161165050.0,Calle 48sur # 86 - 60,Alameda de San Pedro,"Apartamento en venta de 50m2, con vista interior, ubicado en un 5to piso (Torre 16 Apto 562), parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, parque infantil, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Milenio Plaza ; cerca a almacenes de cadena como Éxito, D1 y Ara; cerca a colegio San Cristóbal Sur, Jaime Garzón; cerca a estación de Transmilenio Portal Américas y paraderos del SITP ; Vías de acceso por calle 48 Sur y la Avenida Ciudad de Cali. ",LAS MARGARITAS
Mirador de Jaboque,125300,3,3,No,47.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,150800000.0,Calle 70a bis # 121a - 30,Mirador de Jaboque,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 16vo piso (Torre 4 Apto 1603), parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con gimnasio, salón social, salón de juegos y vigilancia privada las 24 horas. Cerca a centro comercial Ronda del Rio ; cerca a almacenes de cadena como D1; cerca a colegio Campestre los Pinos; cerca a universidad Nacional; cerca a estación de Transmilenio Portal el Dorado; Vías de acceso por la Carrera 120 A y Calle 70 A.",ENGATIVA
Dalí,177000,4,12,No,51.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,211060000.0,Calle 160 # 58 - 75,Dalí,"Apartamento en venta de 51m2, con vista interior, ubicado en un 6to piso (Torre 24 Apto 601), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y piso cerámico en baños y cocina. El conjunto cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Multi Drive; cerca a almacenes de cadena D1; cerca a colegio Nuestra Señora del Rosario San Cipriano; cerca a paraderos de SITP; Vías de acceso por la Av. Boyacá y Calle 160.",BRITALIA
Parque Central Bonavista 1,119000,3,8,Si,55.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,174700000.0,Calle 63 sur # 70d-75,Parque Central Bonavista 1,"Apartamento en venta de 55m2, con vista Interior, ubicado en un 15avo piso (Torre 16 Apto 1504), acceso por Ascensor, parqueadero Comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso Cerámico en todas sus zonas .El conjunto cuenta con zonas verdes, gimnasio, terraza, 3 salones comunales, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Gran plaza El Ensueño y San Andresito Perdomo; cerca a almacenes de cadena como Éxito, D1, Ara y Justo & Bueno; cerca a colegio Ismael Perdomo IED y Colombo Ciencias; cerca a estación de Transmilenio Perdomo y Madelena; Vías de acceso por la Calle 68 Sur y Cra 71F.",ISMAEL PERDOMO
Atalmin,980000,6,37,Si,110.0,3,2,2,0,Apartamento,1,24 hrs,No Tiene,Si,Si,564385000.0,Carrera 14 # 119 - 56,Atalmin,"Apartamento dúplex en venta de 110m2, con vista interior, ubicado en un 2do piso (Apto 202), acceso por escaleras, parqueaderos propios cubiertos (07 y 16). Consta de 3 habitaciones, 2 baños, sala comedor, estudio, cocina integral y zona de lavandería. Tiene piso en madera en habitaciones y zona social y piso cerámico en baños y cocina. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Unicentro; cerca a almacenes de cadena Carulla y Éxito; cerca a colegio Italiano Leonardo Da Vinci; cerca a paraderos de SITP; Vías de acceso por la Carrera 15 y Calle 119.",SANTA BARBARA
Hacienda La Estancia Andalucía ,350000,4,4,No,68.0,3,2,1,2,Apartamento,0,24 hrs,No Tiene,Si,Si,450000000.0,Carrera 8 # 172a-85,Hacienda La Estancia Andalucía,"Apartamento en venta de 68m2, con vista interior exterior, ubicado en un 7mo piso (Torre 1 Apto 701), acceso por escaleras y ascensor, parqueadero propio cubierto (285). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, zonas verdes, terraza Bbq, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Santafé Bogotá; cerca a almacenes de cadena PrinceSmart; cerca a colegio Claustro Moderno; cerca a universidad La Salle; cerca a estación de Transmilenio Portal Norte; Vías de acceso por la Calle 170 y Carrera 7ma.",LA URIBE
Santafe Tintal,84000,2,23,Si,47.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,142500000.0,CL 6D # 88D-59,Santafe Tintal,"Apartamento en venta de 43m2 piso cerámico en todos sus espacios, con vista exterior. Ubicado en un 6to piso (604 Torre 19) acceso por escalera. Distribuido en 2 habitaciones, 1 baño, sala comedor, cocina y zona de lavandería, parqueadero comunal. El conjunto posee salón comunal, zonas verdes, parqueadero para visitantes, y vigilancia privada las 24 horas. Se encuentra cerca al Centro Comercial Tintal Plaza, Almacenes de Cadena y Estaciones de Transmilenio como Banderas, Biblioteca Tintal y Transversal 86. Vías de acceso por la Av Ciudad de Cali, Avenida de las Américas y Avenida Boyacá. A pocas cuadras de la Biblioteca Tintal, Universidad Uniagustiniana.",CALANDAIMA
Tierra Buena Reservado 1,70500,2,14,No,47.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,134200000.0,KR 98 2 20,Tierra Buena Reservado 1,"Apartamento en venta de 47m², con vista interior, ubicado en un 1er piso (Torre 23 Apto 104). Cuenta con 3 habitaciones, 1 baño, sala comedor, cocina integral, zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, parqueadero comunal, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Ciudad Tintal, centro comercial Milenio Plaza, almacenes de cadena como D1y Ara; cerca a estación de Transmilenio Biblioteca Tintal.",CALANDAIMA
Paseo de San Diego,210000,4,20,Si,63.0,3,2,1,0,Apartamento,0,24 hrs,No Tiene,Si,Si,302500000.0,Carrera 94 #22A-90,Paseo de San Diego,"Apartamento en venta de 63m2, con vista exterior, ubicado en un 3er piso (Torre 3 Apto 303), acceso por escaleras, parqueadero propio cubierto (74). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zona social, salon comunal, parque infantil, zona verde y vigilancia privada las 24 horas. Cerca a centro comercial Hayuelos; cerca a almacenes de cadena Tienda D1, TIenda Ara, Exito; cerca a colegio Nuevo Montessoriano; cerca a paraderos del SITP; Vías de acceso por la Avenida Ferrocarril de Occidente y carrera 94.",MODELIA
Portal de la Campiña,150000,3,7,Si,38.0,2,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,176500000.0,Carrera 91 # 137-59,Portal de la Campiña,"Apartamento en venta de 38m2, con vista exterior, ubicado en un 6to piso (Torre 2 Apto 606). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, parque infantil, terraza BBQ y vigilancia privada las 24 horas. Cerca a centro comercial Subazar y Centro Suba; cerca a almacenes de cadena como Éxito, Surtimax, Ara y D1; cerca a Colegio Liceo Los Angeles Suba; cerca a Universidad Uniagustiniana - Campus Suba; cerca a estación de Transmilenio Tv. 91, paraderos del SITP; Vías de acceso por la Avenida Suba y la carrera 91.                                                                                                                                         ",EL RINCON
Las Orquídeas 2,100000,2,24,No,55.0,3,2,0,0,Apartamento,0,24 hrs,Comunal,Si,Si,164510000.0,Carrera 123 #131-80,Las Orquídeas 2,"Apartamento en venta de 55m2, con vista interior, ubicado en un 6to piso (Torre 212 Apto 604). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal, parque infantil, zonas verdes, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Laguna y Portal de Hatochico; cerca a almacenes de cadena como D1, Ara y Surtimax; cerca a Colegio República Dominicana - Sede B y Colegio Santiago De Compostella; cerca a paraderos del SITP; Vías de acceso por Avenida Ciudad de Cali y calle 132.",TIBABUYES
Centenari,140000,3,2,Si,36.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,No,215000000.0,Calle 18 # 20 - 51,Centenari,"Apartamento en venta de 36m2, con vista interior, ubicado en un 17vo piso (Torre 7 Apto 1718), acceso por ascensor. Cuenta con 2 habitaciones, 1 baño, sala comedor, cocina integral, zona de lavandería.Tiene piso laminado en zona social y habitaciones y piso cerámico en cocina y baño. El conjunto cuenta con zona infantil, zona BBQ, salón de juegos, gimnasio, cancha sintética, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Mall Plaza NQS Bogotá; cerca a almacenes de cadena D1; cerca a colegio Panamericano; cerca a Universidad Cooperativa de Colombia; cerca a estacion de Transmilenio Avenida el Dorado; Vías de acceso por la Calle 26 y NQS.",LA SABANA
Senderos de Madelena 2,117000,3,1,Si,42.0,2,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,195350000.0,Calle 57hsur # 68d - 75,Senderos de Madelena 2,"Apartamento en venta de 42m2, con vista interior, ubicado en un 18vo piso (Torre 5 Apto 1804), acceso por ascensor, Consta de 2 habitaciones, 1 baños, sala comedor, balcón (2m2), cocina semi-integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con parque para niños, cancha múltiple, zonas verdes, terraza, salon social y vigilancia privada las 24 horas. Cerca a centro comercial Paseo Villa del Río; cerca a almacenes de cadena como Ara, D1 y Surtimax; cerca a colegio Bilingüe Reino Unido, Colegio Nuevo Chile Sede B, Colegio El Futuro de Villa del Río ; cerca la universidad del Tolima, Politécnico Grancolombiano; cerca a estación de Transmilenio Madelena y Sevillana; Vías de acceso por la AV Ciudad de Villavicencio y Calle 57B Sur.",APOGEO
Parque Primaveral,0,3,1,No,49.0,3,1,1,0,Apartamento,0,24 hrs,No Tiene,Si,No,142340000.0,Calle 71a sur # 83 - 20,Parque Primaveral,"Apartamento en venta de 49m2, con vista interior, ubicado en un 15vo piso (Torre 4 Apto 1510), acceso por ascensor. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, parque infantil y vigilancia privada las 24 horas. Cerca a Boulevard Comercial Maryland; cerca a almacenes de cadena D1 y Tiendas Ara; cerca a colegio Palermo; cerca a paraderos de SITP; Vías de acceso por la Av. Ciudad de Cali y Calle 71A Sur.
*VALOR ADMINISTRACIÓN POR CONFIRMAR*",BOSA CENTRAL
Gerona del Porvenir,119900,2,8,No,46.0,3,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,No,132460000.0,Carrera 95a # 26 - 38sur,Gerona del Porvenir,"Apartamento en venta de 46m2, con vista exterior, ubicado en un 13avo piso (Torre 2 Apto 1301), acceso por ascensor. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, zona de niños, piscina, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza; cerca a almacenes de cadena como Colsubsidio, D1; cerca a colegio Codema; cerca a universidad Distrital; cerca a estación de Transmilenio Portal Americas; Vías de acceso por la Calle 38 Sur y Carrera 95 A.",CALANDAIMA
Bosques de Bogotá 4,88200,2,11,No,48.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,110300000.0,Calle 138asur # 14i - 28,Bosques de,"Apartamento en venta de 48m2, con vista exterior, ubicado en un 1er piso (Torre 10 Apto 102), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, salón comunal, zona infantil y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Surtimax; cerca a colegios Eustasio rivera IED; cerca a universidad Antonio Nariño; Vías de acceso por la Calle 138 A Sur y Carrera 14.",CIUDAD USME
Bonavista 2,144800,3,8,Si,59.0,3,2,0,3,Apartamento,0,24 hrs,No Tiene,Si,Si,177000000.0,Carrera 70D #64-38Sur,Bonavista 2,"Apartamento en venta de 59 m2, con vista exterior, ubicado en un 19vo piso (Torre 5 Apto 1905), acceso por ascensor, parqueadero comunal . Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en Todas sus zonas. El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial El Ensueño; cerca a almacenes de cadena como Éxito, D1 y Ara; cerca a colegio María Mercedes Carranza, cerca a Teatro y Colegio El Ensueño, colegio Rogelio Salmona IED ; cerca a estación de Transmilenio Perdomo; Vías de acceso por Carrera 70D y Calle 64 Sur.",ISMAEL PERDOMO
Atalaia,106000,2,3,Si,48.0,3,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,162000000.0,Calle 59csur # 88h-15,Atalaia,"Apartamento en venta de 48m2, con vista Exterior, ubicado en un 1er piso (Torre 1 Apto 104), acceso por Ascensor, parqueadero Comunitario. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso en todas sus zonas. El Conjunto cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Metro Bosa; cerca a almacenes como Metro Bosa Atalayas; cerca a colegio Colegio Santiago De Las Atalayas; cerca a la universidad Colegio Distrital José Francisco Socarras; cerca a estación de Transmilenio Portal de las Américas; Vías de acceso por la Calle 59c Sur y La Av el Tintal.
",BOSA OCCIDENTAL
Altos de Ipanema,81100,2,13,No,55.0,3,2,0,0,Apartamento,0,24 hrs,Comunal,Si,Si,155000000.0,Calle 26sur # 93d - 60,Altos de Ipanema,"Apartamento en venta de 55m2, con vista interior, ubicado en un 5to piso (Torre 8 Apto 504), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona para niños, zonas verdes, salón comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Ciudad Tintal y Portal de la Primavera; cerca a almacenes de cadena como Colsubsidio, D1, Ara y Justo & Bueno; cerca a colegio Codema IED, Cafam Bellavista y Salucoop Sede B; cerca a universidad Colegio Mayor de Cundinamarca y Pública de Kennedy; cerca a estación de Transmilenio Patio Bonito; Vías de acceso por la Calle 26 Sur y Carrera 93D.",CALANDAIMA
Cavadonga Real,281300,4,16,No,93.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,442000000.0,Carrera 87b # 19a - 66,Cavadonga Real,"Apartamento en venta de 93m2, con vista interior, ubicado en un 1er piso (Torre 13 Apto 103), parqueadero propio cubierto (34). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y piso cerámico en baños y cocina. El conjunto cuenta con salón comunal, gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial Hayuelos; cerca a almacenes de cadena Jumbo y D1; cerca a colegio Marco Aurelio Fontibón; cerca a universidad Uniagustiniana; cerca a paraderos de SITP; Vías de acceso por la Calle 19A y Carrera 87B.",GRANJAS DE TECHO
