administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero,log_precio,Cluster,nivel_lujo
0,3,31,54.0,3,2,0,0,Apartamento,24 hrs,183400000.0,SUBA,9.8,750.0,True,True,False,True,True,19.0271801232392,2,Bajo lujo
86100,3,25,39.0,2,1,0,0,Apartamento,24 hrs,148600000.0,SUBA,9.8,750.0,True,False,True,True,True,18.81676869697741,2,Bajo lujo
132400,3,5,46.0,3,1,0,2,Apartamento,24 hrs,177800000.0,FONTIBON,10.1,810.0,True,False,False,True,True,18.996169886668376,2,Bajo lujo
139200,3,10,54.0,3,2,0,1,Apartamento,24 hrs,188900000.0,SUBA,9.8,750.0,True,False,False,True,True,19.056728337765545,2,Bajo lujo
83000,2,22,42.0,2,1,0,0,Apartamento,24 hrs,130400000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.686117215125535,2,Bajo lujo
105500,2,5,32.0,2,1,0,1,Apartamento,24 hrs,110000000.0,BOSA,21.5,880.0,True,False,False,True,True,18.5159909328476,2,Bajo lujo
170000,3,10,54.0,3,2,0,1,Apartamento,24 hrs,192700000.0,SUBA,9.8,750.0,True,False,False,True,True,19.07664513857401,2,Bajo lujo
110000,3,4,41.0,2,1,0,1,Apartamento,24 hrs,178200000.0,BOSA,21.5,880.0,True,False,False,True,True,18.99841707861265,2,Bajo lujo
95000,2,24,51.0,3,1,0,0,Apartamento,24 hrs,147200000.0,ENGATIVA,11.3,790.0,True,False,False,True,False,18.807302771052527,2,Bajo lujo
130400,3,4,53.0,3,1,0,2,Apartamento,24 hrs,163600000.0,FONTIBON,10.1,810.0,True,False,False,True,False,18.91293498824539,2,Bajo lujo
130000,2,8,47.0,3,1,0,2,Apartamento,24 hrs,135000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.72078534381011,2,Bajo lujo
100000,3,17,50.0,2,1,0,0,Apartamento,24 hrs,180000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.00846741441004,2,Bajo lujo
40000,3,29,50.0,3,1,0,0,Apartamento,No,152600000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.84333068336771,2,Bajo lujo
125300,3,2,46.0,2,1,0,1,Apartamento,24 hrs,160400000.0,ENGATIVA,11.3,790.0,True,True,False,True,False,18.893181259631103,2,Bajo lujo
67000,2,13,42.0,2,1,0,0,Apartamento,24 hrs,116200000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.570823410987938,2,Bajo lujo
41001,2,18,38.0,2,1,0,0,Apartamento,24 hrs,126000000.0,FONTIBON,10.1,810.0,True,False,False,True,True,18.65179247285226,2,Bajo lujo
80000,2,31,44.0,2,1,0,0,Apartamento,24 hrs,99200000.0,USME,18.9,680.0,True,False,False,True,True,18.412648582335745,2,Bajo lujo
56500,2,7,41.0,2,1,0,0,Apartamento,24 hrs,99300000.0,USME,18.9,680.0,True,False,False,True,True,18.41365613908589,2,Bajo lujo
105000,2,17,53.0,2,1,0,0,casa con conjunto cerrado,24 hrs,156300000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.867287801789654,2,Bajo lujo
79000,2,6,47.0,3,1,0,0,Apartamento,24 hrs,125700000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.64940868151593,2,Bajo lujo
307000,4,15,59.0,3,2,1,0,Apartamento,24 hrs,291100000.0,USAQUEN,8.5,850.0,True,True,False,True,True,19.489177412151097,0,Medio lujo
298000,4,32,74.0,3,2,1,0,Apartamento,24 hrs,274000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.42863866800198,0,Medio lujo
54500,2,8,57.0,3,1,0,0,Apartamento,24 hrs,157800000.0,USAQUEN,8.5,850.0,True,False,False,True,True,18.876838972713184,2,Bajo lujo
145600,3,7,62.0,3,2,0,3,Apartamento,24 hrs,190500000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,19.06516275778037,2,Bajo lujo
50000,3,17,62.0,3,2,0,1,Apartamento,24 hrs,244100000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.31308853945987,2,Bajo lujo
79800,2,16,52.0,3,2,0,0,Apartamento,24 hrs,169600000.0,ENGATIVA,11.3,790.0,True,False,False,True,True,18.948953287218306,2,Bajo lujo
312000,3,14,97.0,3,2,1,0,casa con conjunto cerrado,24 hrs,375000000.0,SUBA,9.8,750.0,True,True,False,True,True,19.74243658660135,1,Alto lujo
259000,3,14,72.0,3,2,2,1,Apartamento,24 hrs,389800000.0,SUBA,9.8,750.0,True,True,False,True,True,19.781144347603156,1,Alto lujo
635000,6,5,77.0,2,3,1,1,Apartamento,24 hrs,600000000.0,USAQUEN,8.5,850.0,True,False,False,True,False,20.21244021484709,1,Alto lujo
324000,4,15,88.0,3,2,1,1,Apartamento,24 hrs,415000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.84378908060461,1,Alto lujo
93000,2,5,45.0,2,1,0,0,Apartamento,24 hrs,120000000.0,USME,18.9,680.0,True,False,False,True,True,18.603002309079653,2,Bajo lujo
126400,3,10,51.0,2,2,0,0,Apartamento,24 hrs,175000000.0,SUBA,9.8,750.0,True,False,False,True,False,18.980296537602072,2,Bajo lujo
75000,2,11,43.0,3,2,0,0,Apartamento,24 hrs,160200000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.89193359884073,2,Bajo lujo
648000,6,11,65.0,2,2,1,1,Apartamento,24 hrs,472000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.972489545668477,0,Medio lujo
70000,2,8,46.0,3,1,0,1,Apartamento,24 hrs,140000000.0,BOSA,21.5,880.0,True,False,False,True,False,18.757152987716434,2,Bajo lujo
54000,2,15,40.0,2,1,0,0,Apartamento,24 hrs,117800000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.58449883767073,2,Bajo lujo
78000,3,10,41.0,2,1,0,1,Apartamento,24 hrs,186500000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.043941802410075,2,Bajo lujo
170000,3,13,59.0,3,2,0,1,Apartamento,24 hrs,218421053.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.20193519828764,2,Bajo lujo
208000,2,13,51.0,3,2,0,0,Apartamento,24 hrs,170000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.951309000896888,2,Bajo lujo
82000,3,10,43.0,2,1,0,0,Apartamento,24 hrs,130466000.0,USAQUEN,8.5,850.0,True,False,False,True,True,18.686623222047885,2,Bajo lujo
125000,2,3,51.0,2,1,0,1,Apartamento,24 hrs,174030000.0,ENGATIVA,11.3,790.0,True,False,False,True,False,18.97473826185649,2,Bajo lujo
160400,3,5,39.0,2,1,0,3,Apartamento,24 hrs,183000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.024996716270177,2,Bajo lujo
649900,5,28,109.0,3,3,1,1,Apartamento,24 hrs,534760000.0,SUBA,9.8,750.0,True,True,False,True,False,20.097328607949198,1,Alto lujo
141200,3,6,33.0,1,1,0,1,Apartamento,24 hrs,151600000.0,SUBA,9.8,750.0,True,False,False,True,True,18.83675603776885,2,Bajo lujo
67000,2,10,42.0,3,1,0,0,Apartamento,24 hrs,158830000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.883345012107377,2,Bajo lujo
145500,3,8,62.0,3,2,0,3,Apartamento,24 hrs,190000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,19.06253463538792,2,Bajo lujo
140000,3,14,78.0,3,2,0,0,Apartamento,24 hrs,285000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.467999741741696,0,Medio lujo
145000,3,14,61.0,2,2,0,0,Apartamento,24 hrs,225000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.23161096461314,2,Bajo lujo
150000,2,10,52.0,3,2,0,0,Apartamento,24 hrs,170000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True,18.951309000896888,2,Bajo lujo
273100,3,13,58.0,3,2,1,1,Apartamento,24 hrs,283000000.0,ENGATIVA,11.3,790.0,True,True,False,True,True,19.46095745914108,0,Medio lujo
88000,3,15,73.0,4,2,0,0,casa con conjunto cerrado,24 hrs,212400000.0,SUBA,9.8,750.0,True,False,False,True,False,19.17398185204016,2,Bajo lujo
368000,3,9,84.0,3,2,1,3,Apartamento,24 hrs,368000000.0,SUBA,9.8,750.0,True,False,False,True,False,19.7235934988506,1,Alto lujo
75000,2,7,47.0,2,1,0,0,Apartamento,24 hrs,170000000.0,CIUDAD BOLIVAR,35.0,650.0,True,True,False,True,True,18.951309000896888,2,Bajo lujo
61200,2,11,44.0,2,1,0,0,Apartamento,24 hrs,120500000.0,USME,18.9,680.0,True,False,False,True,True,18.60716031919374,2,Bajo lujo
120000,2,2,50.0,3,2,0,2,Apartamento,No,202000000.0,BOSA,21.5,880.0,True,False,False,True,False,19.123778260315973,2,Bajo lujo
65000,3,20,53.0,2,1,0,0,casa con conjunto cerrado,24 hrs,180000000.0,FONTIBON,10.1,810.0,True,False,False,True,True,19.00846741441004,2,Bajo lujo
417000,4,14,93.0,3,3,1,1,Apartamento,24 hrs,440000000.0,SUBA,9.8,750.0,True,True,False,True,True,19.902285287149308,1,Alto lujo
128200,3,11,48.0,3,1,0,0,Apartamento,24 hrs,166600000.0,SUBA,9.8,750.0,True,False,False,True,True,18.93110629369942,2,Bajo lujo
213000,4,33,51.0,2,1,1,0,Apartamento,24 hrs,211000000.0,SUBA,9.8,750.0,True,False,False,True,False,19.167368696179675,0,Medio lujo
96000,2,12,43.0,2,1,0,0,Apartamento,24 hrs,168000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.939474543319918,2,Bajo lujo
144800,3,10,59.0,3,2,0,3,Apartamento,24 hrs,174000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.974565862925928,2,Bajo lujo
144800,3,10,59.0,3,2,1,1,Apartamento,24 hrs,175000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.980296537602072,0,Medio lujo
290000,3,10,68.0,3,2,1,1,Apartamento,24 hrs,354000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.68480747392291,0,Medio lujo
957000,6,31,108.0,3,2,2,1,Apartamento,24 hrs,581745000.0,USAQUEN,8.5,850.0,True,True,False,True,True,20.18154276707151,1,Alto lujo
119100,3,11,44.0,2,1,0,2,Apartamento,24 hrs,190000000.0,KENNEDY,25.4,950.0,True,False,False,True,False,19.06253463538792,2,Bajo lujo
82000,2,16,47.0,3,1,0,0,Apartamento,24 hrs,150000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.8261458587272,2,Bajo lujo
77800,2,8,50.0,3,2,0,0,Apartamento,24 hrs,161165050.0,USAQUEN,8.5,850.0,True,False,False,True,False,18.89793955932024,2,Bajo lujo
125300,3,3,47.0,2,1,0,1,Apartamento,24 hrs,150800000.0,ENGATIVA,11.3,790.0,True,False,False,True,True,18.83146502016943,2,Bajo lujo
177000,4,12,51.0,3,1,0,0,Apartamento,24 hrs,211060000.0,SUBA,9.8,750.0,True,False,False,True,True,19.16765301594521,2,Bajo lujo
119000,3,8,55.0,3,2,0,1,Apartamento,24 hrs,174700000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.978580780828384,2,Bajo lujo
980000,6,37,110.0,3,2,2,0,Apartamento,24 hrs,564385000.0,USAQUEN,8.5,850.0,True,True,False,True,True,20.151247202465782,1,Alto lujo
350000,4,4,68.0,3,2,1,2,Apartamento,24 hrs,450000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.92475814295086,0,Medio lujo
84000,2,23,47.0,2,1,0,0,Apartamento,24 hrs,142500000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.774852564690523,2,Bajo lujo
70500,2,14,47.0,3,1,0,0,Apartamento,24 hrs,134200000.0,KENNEDY,25.4,950.0,True,False,False,True,False,18.71484178995342,2,Bajo lujo
210000,4,20,63.0,3,2,1,0,Apartamento,24 hrs,302500000.0,FONTIBON,10.1,810.0,True,False,False,True,True,19.52759183874096,0,Medio lujo
150000,3,7,38.0,2,1,0,2,Apartamento,24 hrs,176500000.0,SUBA,9.8,750.0,True,False,False,True,True,18.98883144000335,2,Bajo lujo
100000,2,24,55.0,3,2,0,0,Apartamento,24 hrs,164510000.0,SUBA,9.8,750.0,True,False,True,True,True,18.91848192267426,2,Bajo lujo
140000,3,2,36.0,2,1,0,1,Apartamento,24 hrs,215000000.0,LOS MARTIRES,20.2,1300.0,True,False,False,True,False,19.186148590743095,2,Bajo lujo
117000,3,1,42.0,2,1,0,1,Apartamento,24 hrs,195350000.0,BOSA,21.5,880.0,True,False,False,True,True,19.09030338458437,2,Bajo lujo
0,3,1,49.0,3,1,1,0,Apartamento,24 hrs,142340000.0,BOSA,21.5,880.0,True,False,False,True,False,18.773729126860832,2,Bajo lujo
119900,2,8,46.0,3,1,0,1,Apartamento,24 hrs,132460000.0,KENNEDY,25.4,950.0,True,False,False,True,False,18.70179127857056,2,Bajo lujo
88200,2,11,48.0,3,1,0,0,Apartamento,24 hrs,110300000.0,USME,18.9,680.0,True,False,False,True,True,18.518714493289917,2,Bajo lujo
144800,3,8,59.0,3,2,0,3,Apartamento,24 hrs,177000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True,18.99166029618782,2,Bajo lujo
106000,2,3,48.0,3,1,0,2,Apartamento,24 hrs,162000000.0,BOSA,21.5,880.0,True,False,False,True,True,18.903106899369497,2,Bajo lujo
81100,2,13,55.0,3,2,0,0,Apartamento,24 hrs,155000000.0,KENNEDY,25.4,950.0,True,False,True,True,True,18.858935681335133,2,Bajo lujo
281300,4,16,93.0,3,2,1,1,Apartamento,24 hrs,442000000.0,FONTIBON,10.1,810.0,True,False,False,True,True,19.90682044230441,1,Alto lujo
118000,3,28,66.0,3,1,0,0,Apartamento,24 hrs,165000000.0,SUBA,9.8,750.0,True,False,False,True,False,18.92145603792546,2,Bajo lujo
67000,1,15,49.0,3,1,0,0,Apartamento,24 hrs,155085000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.85948391811912,2,Bajo lujo
166000,4,7,58.0,2,2,1,1,Apartamento,No,371000000.0,TEUSAQUILLO,6.5,1100.0,True,True,True,True,True,19.73171262326713,0,Medio lujo
269100,4,19,105.0,3,2,1,0,casa con conjunto cerrado,24 hrs,400000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.806975107572256,1,Alto lujo
300000,4,28,63.0,3,2,1,0,Apartamento,24 hrs,272000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.421312627936743,0,Medio lujo
70000,2,11,38.0,3,1,0,0,Apartamento,24 hrs,110110000.0,KENNEDY,25.4,950.0,True,False,False,True,False,18.5169904331716,2,Bajo lujo
134200,3,15,55.0,3,2,0,0,Apartamento,24 hrs,235500000.0,FONTIBON,10.1,810.0,True,False,False,True,True,19.27722147566703,2,Bajo lujo
75400,2,13,50.0,3,1,0,0,Apartamento,24 hrs,138000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,18.742764250367856,2,Bajo lujo
308000,4,30,57.0,3,2,0,0,Apartamento,24 hrs,260000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.376192192825958,2,Bajo lujo
90000,2,10,42.0,2,1,0,0,Apartamento,24 hrs,119665000.0,USME,18.9,680.0,True,False,False,True,True,18.600206738467516,2,Bajo lujo
327000,3,18,75.0,2,2,1,0,Apartamento,24 hrs,317000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.57441233499613,0,Medio lujo
61000,2,3,57.0,3,2,0,0,Apartamento,24 hrs,148000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.812722838485147,2,Bajo lujo
125400,3,15,49.0,3,1,0,0,Apartamento,24 hrs,193000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True,19.078200752050503,2,Bajo lujo
117350,2,4,47.0,2,1,0,1,Apartamento,24 hrs,164930000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,True,True,True,18.921031705487515,2,Bajo lujo
160000,4,1,56.0,2,2,1,1,Apartamento,24 hrs,407982000.0,LOS MARTIRES,20.2,1300.0,True,True,False,True,True,19.82673361619925,0,Medio lujo
58800,2,3,45.0,2,1,0,0,Apartamento,24 hrs,115000000.0,USME,18.9,680.0,True,False,False,True,True,18.560442695023177,2,Bajo lujo
204000,3,2,52.0,3,2,1,1,Apartamento,24 hrs,244706000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.315568052019017,0,Medio lujo
0,2,8,65.0,3,2,1,1,Apartamento,24 hrs,308428571.0,SUBA,9.8,750.0,True,True,False,True,True,19.54700084127648,0,Medio lujo
451200,4,7,88.0,3,3,2,1,Apartamento,24 hrs,450000000.0,USAQUEN,8.5,850.0,True,True,False,True,True,19.92475814295086,1,Alto lujo
160000,2,11,42.0,3,1,0,0,Apartamento,No,110000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.5159909328476,2,Bajo lujo
130000,3,15,63.0,3,2,0,0,Apartamento,24 hrs,287000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.47499277720821,2,Bajo lujo
257700,3,15,78.0,3,2,1,1,Apartamento,No,315000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.56808319996451,0,Medio lujo
55000,2,14,39.0,2,1,0,0,Apartamento,24 hrs,120060018.0,USME,18.9,680.0,True,False,False,True,True,18.603502334042165,2,Bajo lujo
329000,3,2,63.0,2,2,1,1,Apartamento,24 hrs,353800000.0,KENNEDY,25.4,950.0,True,True,False,True,True,19.684242342516416,0,Medio lujo
185000,3,9,47.0,2,2,0,0,Apartamento,24 hrs,156400000.0,RAFAEL URIBE URIBE,17.1,700.0,True,False,False,True,False,18.867927392469348,2,Bajo lujo
74000,2,12,37.0,2,1,0,0,Apartamento,24 hrs,115514000.0,USME,18.9,680.0,True,False,False,True,True,18.5649023013587,2,Bajo lujo
