administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero
128200,3,11,48.0,3,1,0,0,Apartamento,24 hrs,166600000.0,SUBA,9.8,750.0,True,False,False,True,True
213000,4,33,51.0,2,1,1,0,Apartamento,24 hrs,211000000.0,SUBA,9.8,750.0,True,False,False,True,False
96000,2,12,43.0,2,1,0,0,Apartamento,24 hrs,168000000.0,SUBA,9.8,750.0,True,False,False,True,True
144800,3,10,59.0,3,2,0,3,Apartamento,24 hrs,174000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
144800,3,10,59.0,3,2,1,1,Apartamento,24 hrs,175000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
290000,3,10,68.0,3,2,1,1,Apartamento,24 hrs,354000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
957000,6,31,108.0,3,2,2,1,Apartamento,24 hrs,581745000.0,USAQUEN,8.5,850.0,True,True,False,True,True
119100,3,11,44.0,2,1,0,2,Apartamento,24 hrs,190000000.0,KENNEDY,25.4,950.0,True,False,False,True,False
82000,2,16,47.0,3,1,0,0,Apartamento,24 hrs,150000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
77800,2,8,50.0,3,2,0,0,Apartamento,24 hrs,161165050.0,USAQUEN,8.5,850.0,True,False,False,True,False
125300,3,3,47.0,2,1,0,1,Apartamento,24 hrs,150800000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
177000,4,12,51.0,3,1,0,0,Apartamento,24 hrs,211060000.0,SUBA,9.8,750.0,True,False,False,True,True
119000,3,8,55.0,3,2,0,1,Apartamento,24 hrs,174700000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
980000,6,37,110.0,3,2,2,0,Apartamento,24 hrs,564385000.0,USAQUEN,8.5,850.0,True,True,False,True,True
350000,4,4,68.0,3,2,1,2,Apartamento,24 hrs,450000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
84000,2,23,47.0,2,1,0,0,Apartamento,24 hrs,142500000.0,KENNEDY,25.4,950.0,True,False,False,True,True
70500,2,14,47.0,3,1,0,0,Apartamento,24 hrs,134200000.0,KENNEDY,25.4,950.0,True,False,False,True,False
210000,4,20,63.0,3,2,1,0,Apartamento,24 hrs,302500000.0,FONTIBON,10.1,810.0,True,False,False,True,True
150000,3,7,38.0,2,1,0,2,Apartamento,24 hrs,176500000.0,SUBA,9.8,750.0,True,False,False,True,True
100000,2,24,55.0,3,2,0,0,Apartamento,24 hrs,164510000.0,SUBA,9.8,750.0,True,False,True,True,True
140000,3,2,36.0,2,1,0,1,Apartamento,24 hrs,215000000.0,LOS MARTIRES,20.2,1300.0,True,False,False,True,False
