administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero,log_precio
204000,3,2,52.0,3,2,1,1,Apartamento,24 hrs,244706000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.315568052019017
0,2,8,65.0,3,2,1,1,Apartamento,24 hrs,308428571.0,SUBA,9.8,750.0,True,True,False,True,True,19.54700084127648
451200,4,7,88.0,3,3,2,1,Apartamento,24 hrs,450000000.0,USAQUEN,8.5,850.0,True,True,False,True,True,19.92475814295086
160000,2,11,42.0,3,1,0,0,Apartamento,No,110000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.5159909328476
130000,3,15,63.0,3,2,0,0,Apartamento,24 hrs,287000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.474992777208215
257700,3,15,78.0,3,2,1,1,Apartamento,No,315000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.56808319996451
55000,2,14,39.0,2,1,0,0,Apartamento,24 hrs,120060018.0,USME,18.9,680.0,True,False,False,True,True,18.603502334042165
329000,3,2,63.0,2,2,1,1,Apartamento,24 hrs,353800000.0,KENNEDY,25.4,950.0,True,True,False,True,True,19.684242342516416
185000,3,9,47.0,2,2,0,0,Apartamento,24 hrs,156400000.0,RAFAEL URIBE URIBE,17.1,700.0,True,False,False,True,False,18.867927392469348
585000,4,12,149.0,3,2,2,1,Apartamento,24 hrs,780000000.0,SUBA,9.8,750.0,True,True,True,True,True,20.47480447892996
74000,2,12,37.0,2,1,0,0,Apartamento,24 hrs,115514000.0,USME,18.9,680.0,True,False,False,True,True,18.5649023013587
0,2,10,52.0,3,2,0,1,Apartamento,24 hrs,158690000.0,BOSA,21.5,880.0,True,False,False,True,True,18.88246317784062
59000,2,5,48.0,3,1,0,0,Apartamento,24 hrs,123000000.0,KENNEDY,25.4,950.0,False,True,True,False,True,18.627694921466773
0,3,27,75.0,3,2,1,0,Apartamento,24 hrs,272730000.0,FONTIBON,10.1,810.0,True,False,False,True,False,19.42399285643278
142645,4,1,35.0,1,1,0,1,Apartamento,24 hrs,220000000.0,USAQUEN,8.5,850.0,False,False,True,False,True,19.20913810886209
50000,2,12,41.0,2,1,0,0,Apartamento,24 hrs,107100000.0,BOSA,21.5,880.0,True,False,False,True,True,18.489273544755044
85000,2,23,47.0,3,1,0,0,Apartamento,24 hrs,145000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.7922443072814
70000,2,26,60.0,3,2,0,0,Apartamento,24 hrs,150000000.0,KENNEDY,25.4,950.0,True,False,False,True,False,18.826145858727198
330000,4,12,89.0,3,2,1,1,Apartamento,24 hrs,550000000.0,FONTIBON,10.1,810.0,True,False,False,True,False,20.125428838008972
579000,4,35,119.0,3,2,1,1,Apartamento,24 hrs,439000000.0,SUBA,9.8,750.0,True,True,False,True,False,19.90000997331735
144000,3,2,42.0,1,1,0,1,Apartamento,24 hrs,216000000.0,SUBA,9.8,750.0,True,False,False,True,False,19.190788970278067
100000,3,16,55.0,3,2,0,0,Apartamento,24 hrs,170000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.951309000896888
130200,3,13,59.0,2,2,0,0,Apartamento,24 hrs,195000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.088510121656228
112600,2,5,41.0,3,1,0,2,Apartamento,24 hrs,170500000.0,SAN CRISTOBAL,12.8,720.0,True,False,False,True,True,18.95424586055295
50000,1,6,49.0,3,1,0,0,Apartamento,24 hrs,103000000.0,USME,18.9,680.0,True,False,False,True,True,18.450239555902648
48000,1,10,45.0,2,1,0,0,Apartamento,No,98000000.0,USME,18.9,680.0,True,False,False,True,False,18.400478046838927
250000,3,27,45.0,2,1,1,0,Apartamento,24 hrs,205100000.0,USAQUEN,8.5,850.0,True,True,False,True,True,19.13900822791828
240000,3,5,55.0,2,2,1,2,Apartamento,24 hrs,258500000.0,USAQUEN,8.5,850.0,True,True,False,True,True,19.37040625578123
210482,5,36,52.0,1,1,1,0,Apartamento,No,242000000.0,USAQUEN,8.5,850.0,True,False,False,True,False,19.30444828825319
232000,4,29,60.0,3,2,1,0,Apartamento,24 hrs,257000000.0,USAQUEN,8.5,850.0,True,False,True,True,True,19.364586646750546
80000,2,12,41.0,2,1,0,0,Apartamento,24 hrs,123500000.0,USME,18.9,680.0,True,False,False,True,True,18.631751722129472
150000,3,36,66.0,3,1,1,0,Apartamento,24 hrs,240000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True,19.29614948547293
54000,3,27,49.0,3,1,0,0,Apartamento,24 hrs,171000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.95717412031489
121000,3,15,52.0,3,1,0,0,Apartamento,No,162000000.0,SUBA,9.8,750.0,True,False,False,True,False,18.903106899369497
155333,4,1,31.0,1,1,0,1,Apartamento,24 hrs,242000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.30444828825319
80000,3,17,37.0,2,1,0,0,Apartamento,24 hrs,140000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.757152987716434
0,3,25,65.0,3,2,1,0,Apartamento,No,279000000.0,PUENTE ARANDA,15.9,870.0,True,False,False,True,False,19.44672234336987
0,3,29,63.0,3,2,0,0,Apartamento,24 hrs,230242623.0,USAQUEN,8.5,850.0,True,False,False,True,False,19.254644197841724
78300,2,14,47.0,3,1,0,0,Apartamento,24 hrs,135000000.0,KENNEDY,25.4,950.0,True,False,False,True,False,18.72078534381011
45000,2,16,39.0,2,1,0,0,casa con conjunto cerrado,24 hrs,110000000.0,BOSA,21.5,880.0,True,False,True,True,True,18.5159909328476
0,2,5,89.0,3,2,1,1,Apartamento,24 hrs,485000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.999659450963613
